Date,Home,Away,Score,Referee
2024-11-10,Galatasaray,Samsunspor,3–2,Halil Umut Meler
2024-11-10,Başakşehir,Beşiktaş,0–0,Turgut Doman
2024-11-10,Fenerbahçe,Sivasspor,4–0,Kadir Sağlam
2024-11-23,Eyüpspor,Rizespor,1–2,Ali Şansalan
2024-11-23,Kayserispor,Fenerbahçe,2–6,Direnç Tonusluoğlu
2024-11-23,Gaziantep FK,Başakşehir,3–0,Ozan Ergün
2024-11-23,BB Bodrumspor,Galatasaray,0–1,Muhammetali Metoğlu
2024-11-24,Sivasspor,Kasımpaşa,0–0,Burak Pakkan
2024-11-24,Konyaspor,Hatayspor,1–1,Oğuzhan Çakir
2024-11-24,Samsunspor,Alanyaspor,1–1,Zorbay Küçük
2024-11-24,Beşiktaş,Göztepe,2–4,Alper Akarsu
2024-11-25,Trabzonspor,Adana Demirspor,5–0,Mehmet Türkmen
2024-11-29,Antalyaspor,Sivasspor,2–1,Yasin Kol
2024-11-30,Samsunspor,BB Bodrumspor,4–0,Ozan Ergün
2024-11-30,Adana Demirspor,Konyaspor,0–1,Atilla Karaoğlan
2024-11-30,Başakşehir,Göztepe,4–1,Çağdaş Altay
2024-11-30,Alanyaspor,Trabzonspor,2–1,Burak Pakkan
2024-12-01,Rizespor,Kayserispor,3–0,Emre Kargın
2024-12-01,Galatasaray,Eyüpspor,2–2,Oğuzhan Çakir
2024-12-02,Hatayspor,Beşiktaş,1–1,Kadir Sağlam
2024-12-02,Fenerbahçe,Gaziantep FK,3–1,Alper Akarsu
2024-12-06,Trabzonspor,Kasımpaşa,2–2,Zorbay Küçük
2024-12-07,Konyaspor,Antalyaspor,1–1,Halil Umut Meler
2024-12-07,Göztepe,Adana Demirspor,3–1,Ali Şansalan
2024-12-07,Beşiktaş,Fenerbahçe,1–0,Mehmet Türkmen
2024-12-08,Eyüpspor,Samsunspor,3–0,Atilla Karaoğlan
2024-12-08,Kayserispor,Alanyaspor,2–0,Ozan Ergün
2024-12-08,Sivasspor,Galatasaray,2–3,Turgut Doman
2024-12-08,Başakşehir,Hatayspor,3–0,Emre Kargın
2024-12-09,Gaziantep FK,Rizespor,1–0,Direnç Tonusluoğlu
2024-12-13,BB Bodrumspor,Sivasspor,2–0,Cihan Aydın
2024-12-13,Kasımpaşa,Eyüpspor,2–0,Halil Umut Meler
2024-12-14,Rizespor,Konyaspor,1–1,Alper Akarsu
2024-12-14,Alanyaspor,Gaziantep FK,3–0,Emre Kargın
2024-12-15,Hatayspor,Göztepe,1–1,Atilla Karaoğlan
2024-12-15,Antalyaspor,Kayserispor,2–0,Ali Şansalan
2024-12-15,Fenerbahçe,Başakşehir,3–1,Ozan Ergün
2024-12-16,Adana Demirspor,Beşiktaş,2–1,Oğuzhan Çakir
2024-12-16,Galatasaray,Trabzonspor,4–3,Kadir Sağlam
2024-12-20,Eyüpspor,Fenerbahçe,1–1,Emre Kargın
2024-12-21,Sivasspor,Samsunspor,0–0,Ali Şansalan
2024-12-21,Beşiktaş,Alanyaspor,1–1,Cihan Aydın
2024-12-22,Gaziantep FK,Antalyaspor,2–0,Oğuzhan Çakir
2024-12-22,Kayserispor,Galatasaray,1–5,Mehmet Türkmen
2024-12-22,Göztepe,Rizespor,3–0,Zorbay Küçük
2024-12-22,Trabzonspor,BB Bodrumspor,1–0,Ozan Ergün
2024-12-23,Hatayspor,Adana Demirspor,1–3,Direnç Tonusluoğlu
2024-12-23,Başakşehir,Kasımpaşa,2–2,Alper Akarsu
2025-01-03,Alanyaspor,Konyaspor,2–1,Zorbay Küçük
2025-01-03,Rizespor,Beşiktaş,1–1,Ozan Ergün
2025-01-04,Adana Demirspor,Başakşehir,0–1,Erkan Özdamar
2025-01-04,Antalyaspor,Eyüpspor,1–4,Muhammetali Metoğlu
2025-01-04,Galatasaray,Göztepe,2–1,Alper Akarsu
2025-01-04,Samsunspor,Trabzonspor,2–1,Mehmet Türkmen
2025-01-05,Kasımpaşa,Gaziantep FK,2–2,Cihan Aydın
2025-01-05,BB Bodrumspor,Kayserispor,1–1,Yasin Kol
2025-01-05,Fenerbahçe,Hatayspor,2–1,Oğuzhan Çakir
2025-01-11,Kayserispor,Samsunspor,0–1,Zorbay Küçük
2025-01-11,Hatayspor,Rizespor,1–2,Erkan Özdamar
2025-01-11,Beşiktaş,BB Bodrumspor,2–1,Mehmet Türkmen
2025-01-12,Sivasspor,Alanyaspor,1–1,Muhammetali Metoğlu
2025-01-12,Trabzonspor,Antalyaspor,5–0,Cihan Aydın
2025-01-12,Gaziantep FK,Adana Demirspor,1–0,Ozan Ergün
2025-01-12,Başakşehir,Galatasaray,1–2,Atilla Karaoğlan
2025-01-13,Konyaspor,Fenerbahçe,2–3,Direnç Tonusluoğlu
2025-01-13,Göztepe,Kasımpaşa,5–0,Umit Öztürk
2025-01-17,Hatayspor,Galatasaray,1–1,Cihan Aydın
2025-01-18,Başakşehir,Rizespor,2–0,Oğuzhan Çakir
2025-01-18,Gaziantep FK,BB Bodrumspor,0–0,Muhammetali Metoğlu
2025-01-18,Beşiktaş,Samsunspor,0–0,Kadir Sağlam
2025-01-19,Göztepe,Antalyaspor,1–0,Çağdaş Altay
2025-01-19,Konyaspor,Kasımpaşa,3–3,Burak Pakkan
2025-01-19,Adana Demirspor,Fenerbahçe,0–4,Halil Umut Meler
2025-01-19,Eyüpspor,Alanyaspor,3–0,Yasin Kol
2025-01-20,Trabzonspor,Sivasspor,4–0,Zorbay Küçük
2025-01-24,Samsunspor,Gaziantep FK,2–1,Umit Öztürk
2025-01-25,Sivasspor,Kayserispor,5–2,Burak Pakkan
2025-01-25,Alanyaspor,Başakşehir,5–4,Emre Kargın
2025-01-25,Galatasaray,Konyaspor,1–0,Halil Umut Meler
2025-01-26,Rizespor,Adana Demirspor,3–2,Çağdaş Altay
2025-01-26,Antalyaspor,Beşiktaş,1–1,Oğuzhan Çakir
2025-01-26,BB Bodrumspor,Eyüpspor,0–1,Ozan Ergün
2025-01-26,Fenerbahçe,Göztepe,3–2,Atilla Karaoğlan
2025-01-27,Kasımpaşa,Hatayspor,5–4,Muhammetali Metoğlu
2025-01-31,Konyaspor,BB Bodrumspor,3–1,Umit Öztürk
