geo,TIME_PERIOD,OBS_VALUE
FR,2016-12,2355
FR,2017-01,2680
FR,2017-02,2660
FR,2017-03,3035
FR,2017-04,2620
FR,2017-05,2625
FR,2017-06,2570
FR,2017-07,2890
FR,2017-08,2860
FR,2017-09,2520
FR,2017-10,3080
FR,2017-11,3215
FR,2017-12,3380
FR,2018-01,3705
FR,2018-02,3490
FR,2018-03,3565
FR,2018-04,3705
FR,2018-05,3125
FR,2018-06,2985
FR,2018-07,3215
FR,2018-08,3415
FR,2018-09,3680
FR,2018-10,4450
FR,2018-11,4180
FR,2018-12,3325
FR,2019-01,4485
FR,2019-02,4120
FR,2019-03,4025
FR,2019-04,3960
FR,2019-05,3710
FR,2019-06,3590
FR,2019-07,4120
FR,2019-08,3800
FR,2019-09,4320
FR,2019-10,4705
FR,2019-11,3550
FR,2019-12,3500
FR,2020-01,4305
FR,2020-02,3550
FR,2020-03,2200
FR,2020-04,70
FR,2020-05,1165
FR,2020-06,2115
FR,2020-07,2100
FR,2020-08,2125
FR,2020-09,2365
FR,2020-10,2375
FR,2020-11,2200
FR,2020-12,2055
FR,2021-01,2090
FR,2021-02,1895
FR,2021-03,2355
FR,2021-04,2155
FR,2021-05,2255
FR,2021-06,2650
FR,2021-07,2620
FR,2021-08,3235
FR,2021-09,4580
FR,2021-10,3395
FR,2021-11,2940
FR,2021-12,3660
FR,2022-01,3470
FR,2022-02,3240
FR,2022-03,3670
FR,2022-04,3450
FR,2022-05,3410
FR,2022-06,3775
FR,2022-07,3765
FR,2022-08,4050
FR,2022-09,4580
FR,2022-10,4480
FR,2022-11,4315
FR,2022-12,4605
FR,2023-01,4665
FR,2023-02,4220
FR,2023-03,4480
FR,2023-04,3845
FR,2023-05,4205
FR,2023-06,4700
FR,2023-07,4070
FR,2023-08,4565
FR,2023-09,5185
FR,2023-10,5555
FR,2023-11,5330
FR,2023-12,4485
FR,2024-01,4945
FR,2024-02,4240
FR,2024-03,4285
FR,2024-04,4650
FR,2024-05,4705
FR,2024-06,4615
FR,2024-07,4955
FR,2024-08,4480
FR,2024-09,5105
FR,2024-10,5490
FR,2024-11,4565
FR,2024-12,4410
FR,2025-01,5520
FR,2025-02,4915
FR,2025-03,4995
FR,2025-04,5045
FR,2025-05,4320
FR,2025-06,4220
FR,2025-07,4415
FR,2025-08,4415
FR,2025-09,4600
FR,2025-10,4875
IT,2015-01,395
IT,2015-02,525
IT,2015-03,535
IT,2015-04,585
IT,2015-05,525
IT,2015-06,535
IT,2015-07,875
IT,2015-08,980
IT,2015-09,1320
IT,2015-10,1335
IT,2015-11,1165
IT,2015-12,760
IT,2016-01,750
IT,2016-02,930
IT,2016-03,1015
IT,2016-04,1025
IT,2016-05,1390
IT,2016-06,1715
IT,2016-07,1800
IT,2016-08,1650
IT,2016-09,1900
IT,2016-10,2210
IT,2016-11,2105
IT,2016-12,1755
IT,2017-01,1705
IT,2017-02,1805
IT,2017-03,1980
IT,2017-04,1365
IT,2017-05,1875
IT,2017-06,1995
IT,2017-07,1875
IT,2017-08,1695
IT,2017-09,1890
IT,2017-10,1910
IT,2017-11,1550
IT,2017-12,830
IT,2018-01,1390
IT,2018-02,1375
IT,2018-03,1310
IT,2018-04,1115
IT,2018-05,1335
IT,2018-06,1270
IT,2018-07,1165
IT,2018-08,745
IT,2018-09,945
IT,2018-10,1000
IT,2018-11,1025
IT,2018-12,665
IT,2019-01,945
IT,2019-02,850
IT,2019-03,885
IT,2019-04,790
IT,2019-05,995
IT,2019-06,935
IT,2019-07,985
IT,2019-08,675
IT,2019-09,795
IT,2019-10,990
IT,2019-11,835
IT,2019-12,635
IT,2020-01,810
IT,2020-02,865
IT,2020-03,205
IT,2020-04,30
IT,2020-05,155
IT,2020-06,390
IT,2020-07,425
IT,2020-08,170
IT,2020-09,240
IT,2020-10,535
IT,2020-11,450
IT,2020-12,445
