geo,TIME_PERIOD,OBS_VALUE
NL,2016-06,7.1
NL,2016-07,7.0
NL,2016-08,6.8
NL,2016-09,6.7
NL,2016-10,6.6
NL,2016-11,6.6
NL,2016-12,6.4
NL,2017-01,6.4
NL,2017-02,6.3
NL,2017-03,6.2
NL,2017-04,6.1
NL,2017-05,6.1
NL,2017-06,6.0
NL,2017-07,5.9
NL,2017-08,5.7
NL,2017-09,5.7
NL,2017-10,5.5
NL,2017-11,5.4
NL,2017-12,5.4
NL,2018-01,5.2
NL,2018-02,5.1
NL,2018-03,5.0
NL,2018-04,4.9
NL,2018-05,4.9
NL,2018-06,4.9
NL,2018-07,4.9
NL,2018-08,4.9
NL,2018-09,4.8
NL,2018-10,4.7
NL,2018-11,4.6
NL,2018-12,4.6
NL,2019-01,4.6
NL,2019-02,4.4
NL,2019-03,4.4
NL,2019-04,4.3
NL,2019-05,4.3
NL,2019-06,4.4
NL,2019-07,4.4
NL,2019-08,4.5
NL,2019-09,4.5
NL,2019-10,4.5
NL,2019-11,4.5
NL,2019-12,4.3
NL,2020-01,4.1
NL,2020-02,4.0
NL,2020-03,4.1
NL,2020-04,4.5
NL,2020-05,4.6
NL,2020-06,5.4
NL,2020-07,5.5
NL,2020-08,5.5
NL,2020-09,5.4
NL,2020-10,5.3
NL,2020-11,5.0
NL,2020-12,4.9
NL,2021-01,4.7
NL,2021-02,4.7
NL,2021-03,4.6
NL,2021-04,4.5
NL,2021-05,4.4
NL,2021-06,4.2
NL,2021-07,4.1
NL,2021-08,4.2
NL,2021-09,4.1
NL,2021-10,3.9
NL,2021-11,3.7
NL,2021-12,3.8
NL,2022-01,3.6
NL,2022-02,3.4
NL,2022-03,3.3
NL,2022-04,3.2
NL,2022-05,3.3
NL,2022-06,3.4
NL,2022-07,3.6
NL,2022-08,3.8
NL,2022-09,3.8
NL,2022-10,3.7
NL,2022-11,3.6
NL,2022-12,3.5
NL,2023-01,3.6
NL,2023-02,3.5
NL,2023-03,3.5
NL,2023-04,3.4
NL,2023-05,3.5
NL,2023-06,3.5
NL,2023-07,3.6
NL,2023-08,3.6
NL,2023-09,3.7
NL,2023-10,3.6
NL,2023-11,3.5
NL,2023-12,3.6
NL,2024-01,3.6
NL,2024-02,3.7
NL,2024-03,3.6
NL,2024-04,3.7
NL,2024-05,3.6
NL,2024-06,3.6
NL,2024-07,3.6
NL,2024-08,3.7
NL,2024-09,3.7
NL,2024-10,3.7
NL,2024-11,3.7
NL,2024-12,3.7
NL,2025-01,3.8
NL,2025-02,3.8
NL,2025-03,3.9
NL,2025-04,3.8
NL,2025-05,3.8
NL,2025-06,3.8
NL,2025-07,3.8
NL,2025-08,3.9
NL,2025-09,4.0
NL,2025-10,4.0
